,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,fraudulent
0,141,124,115,0,0,1,0,3,5,0,0
1,153,315,200,227,0,1,0,2,7,0,0
2,141,50,164,0,0,1,0,0,0,0,0
3,85,346,176,97,0,1,0,2,6,2,0
4,207,168,89,3,0,1,1,2,6,2,0
5,0,480,0,0,0,0,0,0,0,0,0
6,133,57,77,65,0,1,1,2,6,6,0
7,154,389,54,109,0,1,1,0,0,0,0
8,192,5,45,0,0,1,1,2,1,0,0
9,86,150,93,0,0,1,0,4,3,5,0
10,0,323,323,10,0,0,0,2,6,2,0
11,53,190,94,87,0,1,0,0,0,0,0
12,86,213,95,0,0,1,0,2,1,2,0
13,57,130,84,0,0,1,1,2,7,10,0
14,63,141,62,41,0,1,0,2,1,2,0
15,134,468,89,43,0,1,1,2,4,2,0
16,66,52,58,0,0,1,0,2,6,0,0
17,131,59,9,2,0,1,1,0,0,0,0
18,70,229,0,0,0,1,0,0,0,0,0
19,32,169,166,0,0,0,0,2,0,0,0
20,206,177,110,0,0,1,0,0,0,0,0
21,208,274,114,105,0,1,0,2,6,6,0
22,392,163,128,32,0,1,1,2,6,2,0
23,134,220,106,39,0,1,0,2,4,10,0
24,0,50,0,0,0,0,0,0,0,0,0
25,319,674,12,0,0,1,1,0,0,0,0
26,87,76,78,61,0,1,0,2,1,0,0
27,84,62,11,25,0,1,0,2,1,6,0
28,32,206,0,0,0,0,0,2,0,0,0
29,86,150,94,0,0,1,0,2,3,5,0
30,86,270,173,0,0,1,0,2,3,5,0
31,0,44,77,40,0,1,0,2,1,10,0
32,52,178,168,46,0,1,1,2,3,10,0
33,141,223,67,0,0,1,1,2,0,2,0
34,95,28,72,0,0,1,1,2,0,0,0
35,10,33,18,3,0,1,1,1,0,2,0
36,10,28,20,3,0,1,0,1,0,2,0
37,0,305,0,0,0,0,0,2,6,2,0
38,33,242,140,68,0,1,1,2,6,0,0
39,86,235,99,0,0,1,0,2,3,5,0
40,10,33,18,3,0,1,1,1,0,2,0
41,10,34,18,3,0,1,1,1,0,2,0
42,0,52,0,0,0,0,0,2,3,2,0
43,86,88,80,0,0,1,0,2,3,5,0
44,86,324,105,0,0,1,0,2,3,5,0
45,110,177,127,27,0,1,0,2,0,0,0
46,885,22,23,0,0,0,0,2,3,2,0
47,86,171,87,0,0,1,0,2,3,5,0
48,10,33,18,3,0,1,1,1,0,2,0
49,86,163,86,0,0,1,0,2,3,5,0
50,25,96,50,0,0,1,0,2,3,5,0
51,86,128,174,0,0,1,0,2,3,5,0
52,73,53,75,0,0,1,0,2,0,0,0
53,0,174,77,12,0,0,0,2,1,2,0
54,110,109,92,116,0,1,0,0,0,0,0
55,25,57,124,18,0,1,1,0,0,0,0
56,110,109,92,116,0,1,0,0,0,0,0
57,298,115,276,164,0,1,1,0,0,2,0
58,68,133,31,55,0,1,0,2,1,2,0
59,112,90,150,42,0,1,1,2,7,10,0
60,10,37,21,3,0,1,1,1,3,2,0
61,154,217,149,51,0,1,1,2,3,5,0
62,10,33,18,3,0,1,1,1,0,2,0
63,86,169,142,0,0,1,0,2,3,5,0
64,0,212,101,0,0,0,0,0,0,0,0
65,185,37,156,260,0,1,1,2,0,10,0
66,88,37,5,6,0,1,1,0,0,0,0
67,32,91,0,0,0,0,0,2,0,0,0
68,32,346,0,0,0,0,0,2,0,0,0
69,0,37,177,0,0,0,1,1,0,0,0
70,34,78,80,14,0,1,0,0,0,0,0
71,100,84,69,65,0,1,1,2,1,5,0
72,86,150,86,0,0,1,0,4,3,5,0
73,0,40,12,7,0,0,0,2,0,0,0
74,86,137,85,0,0,1,0,4,3,5,0
75,107,269,111,77,0,1,1,2,6,6,0
76,207,212,17,2,0,1,1,2,1,5,0
77,0,236,59,39,0,0,0,2,6,2,0
78,66,1151,0,0,1,0,0,2,6,0,0
79,83,171,42,81,0,1,1,2,0,2,0
80,10,33,18,3,0,1,1,1,0,2,0
81,86,245,84,0,0,1,0,2,3,5,0
82,131,134,5,3,0,1,1,5,1,10,0
83,86,158,127,0,0,1,0,2,3,5,0
84,86,146,60,0,0,1,0,4,3,5,0
85,155,232,136,69,0,1,1,2,1,2,0
86,86,183,105,0,0,1,0,2,3,5,0
87,86,198,92,0,0,1,0,2,3,5,0
88,327,355,0,0,0,1,1,0,0,0,0
89,10,33,18,3,0,1,1,1,0,2,0
90,67,206,74,39,0,1,0,2,1,2,0
91,207,69,38,46,0,1,0,2,0,0,0
92,0,270,0,0,1,0,0,2,3,5,0
93,86,115,87,0,0,1,0,2,3,5,0
94,131,100,15,2,0,1,1,2,7,5,0
95,72,168,65,2,0,1,0,2,2,6,0
96,137,68,89,78,0,1,0,2,6,2,0
97,86,123,91,0,0,1,0,2,3,5,0
98,130,272,148,78,0,1,1,2,6,5,1
99,10,33,18,3,0,1,1,1,0,2,0
100,0,87,87,0,0,1,0,0,0,0,0
101,10,33,18,3,0,1,1,1,0,2,0
102,6,67,15,19,1,1,0,2,3,2,0
103,86,151,86,0,0,1,0,2,3,5,0
104,0,65,0,0,0,0,0,0,0,0,0
105,138,626,0,0,1,1,1,2,6,2,0
106,131,95,5,2,0,1,1,2,5,5,0
107,97,252,167,0,0,1,0,2,7,10,0
108,0,334,0,0,0,0,1,2,6,0,0
109,86,421,45,0,0,1,0,2,2,2,0
110,86,168,110,0,0,1,0,2,3,5,0
111,86,167,86,0,0,1,0,4,3,5,0
112,86,159,86,0,0,1,0,4,3,5,0
113,89,153,67,31,0,1,0,2,6,0,0
114,330,92,94,45,1,1,0,0,0,0,0
115,131,87,10,2,0,1,1,0,7,5,0
116,155,266,95,18,0,1,1,2,3,2,0
117,93,53,10,7,0,1,1,0,0,0,0
118,210,104,78,28,0,1,0,2,2,0,0
119,10,33,18,3,0,1,1,1,0,2,0
120,86,281,104,0,0,1,0,2,1,5,0
121,20,110,43,32,0,1,1,2,0,0,0
122,10,33,18,3,0,1,1,1,0,2,0
123,10,33,18,3,0,1,1,1,0,2,0
124,86,144,88,0,0,1,0,4,3,5,0
125,116,81,46,17,0,1,1,2,1,2,0
126,249,104,49,116,0,1,0,2,6,0,0
127,199,115,89,61,0,1,1,2,1,10,0
128,112,144,185,6,0,1,1,5,5,8,0
129,86,262,176,0,0,1,0,2,3,5,0
130,86,137,64,0,0,1,0,2,3,5,0
131,131,134,5,3,0,1,1,5,1,10,0
132,29,71,44,27,0,1,0,2,6,0,0
133,10,33,18,3,0,1,1,1,0,2,0
134,105,209,122,24,0,1,0,2,6,2,0
135,10,33,18,3,0,1,1,1,0,2,0
136,86,121,85,0,0,1,0,2,3,5,0
137,64,44,0,0,0,1,1,0,0,0,0
138,86,245,84,0,0,1,0,2,3,5,0
139,86,151,86,0,0,1,0,2,3,5,0
140,10,33,18,3,0,1,1,1,0,2,0
141,86,157,105,0,0,1,0,2,3,5,0
142,47,123,32,0,0,1,0,0,0,0,0
143,10,50,15,3,0,1,1,1,3,2,0
144,0,59,0,0,0,0,0,0,0,0,1
145,0,159,8,6,0,1,0,2,1,10,0
146,86,121,85,0,0,1,0,2,3,5,0
147,32,124,0,0,0,0,0,2,0,0,0
148,121,105,176,36,0,1,1,2,1,2,0
149,85,346,176,97,0,1,0,2,6,2,0
150,82,178,100,9,0,1,0,2,1,10,0
151,10,33,18,3,0,1,1,1,0,2,0
152,97,502,256,9,0,1,0,2,6,2,0
153,73,219,99,63,0,1,1,2,6,2,0
154,0,153,69,0,0,0,0,1,0,5,0
155,0,343,123,23,0,0,0,2,1,5,0
156,60,8,0,0,0,1,0,0,0,0,0
157,10,33,18,3,0,1,1,1,0,2,0
158,0,61,167,100,1,0,1,1,0,0,0
159,36,111,11,0,0,1,1,0,0,0,0
160,75,253,38,22,0,0,0,2,1,5,0
161,0,194,59,0,0,0,1,2,2,2,0
162,184,175,36,0,0,1,0,2,6,0,0
163,86,168,132,0,0,1,0,2,3,5,0
164,141,20,38,7,0,1,0,2,3,2,0
165,52,398,149,6,0,1,1,2,5,2,0
166,0,80,91,0,0,0,0,2,6,6,0
167,0,284,0,11,0,0,0,2,3,5,0
168,59,174,64,22,0,1,0,2,3,2,0
169,86,118,105,0,0,1,0,2,3,5,0
170,20,95,33,32,0,1,1,2,0,0,0
171,377,200,172,0,0,1,0,2,1,11,0
172,328,13,939,6,0,1,0,2,1,0,0
173,77,589,150,43,0,1,1,2,6,3,1
174,131,142,5,4,0,1,1,2,1,0,0
175,86,147,86,0,0,1,0,4,3,5,0
176,10,34,18,3,0,1,1,1,0,2,0
177,61,174,70,10,0,1,1,3,3,5,0
178,86,148,145,19,0,1,1,2,2,2,0
179,12,11,9,19,0,1,1,2,6,2,0
180,0,2,2,2,0,0,0,0,0,0,1
181,10,33,18,3,0,1,1,1,0,2,0
182,141,168,83,0,0,1,1,2,0,0,0
183,0,82,32,10,0,0,0,2,6,2,0
184,53,131,125,87,0,1,0,0,0,0,0
185,131,134,2,0,0,1,0,0,0,0,0
186,86,236,99,0,0,1,0,2,3,5,0
187,17,57,111,0,0,1,1,4,3,8,0
188,10,33,18,3,0,1,1,1,0,2,0
189,10,33,18,3,0,1,1,1,0,2,0
190,0,284,0,11,0,0,0,2,3,5,0
191,0,85,101,88,0,0,0,0,0,0,0
192,0,397,224,4,0,0,0,2,6,2,0
193,202,166,118,0,0,0,1,2,3,0,0
194,206,86,0,0,0,1,0,0,0,0,0
195,140,268,31,62,0,1,1,2,6,2,0
196,10,33,18,3,0,1,1,1,0,2,0
197,182,181,6,13,0,1,1,2,6,2,0
198,105,229,85,33,0,1,1,2,3,2,0
199,110,109,92,116,0,1,0,0,0,0,0
200,256,211,83,32,0,1,1,2,6,0,0
201,83,138,81,116,0,1,0,2,6,2,0
202,10,33,18,3,0,1,1,1,0,2,0
203,0,59,0,0,0,0,0,2,6,2,0
204,12,196,45,0,0,1,0,0,0,0,0
205,100,202,89,63,0,1,0,2,3,2,0
206,91,328,42,0,0,1,0,2,7,10,0
207,86,159,125,0,0,1,0,2,3,5,0
208,10,33,18,3,0,1,1,1,0,2,0
209,86,151,86,0,0,1,0,2,3,5,0
210,86,151,87,0,0,1,0,4,3,5,0
211,392,155,64,30,0,1,0,2,3,2,0
212,86,171,88,0,0,1,0,2,3,5,0
213,86,162,93,0,0,1,0,2,3,5,0
214,0,1183,0,0,0,0,0,0,0,0,0
215,130,272,148,83,0,1,1,2,6,5,1
216,10,33,18,3,0,1,1,1,0,2,0
217,53,230,433,0,0,1,0,2,2,0,0
218,118,362,0,0,0,1,0,2,3,10,0
219,156,161,29,89,0,1,0,2,2,6,0
220,86,338,180,0,0,1,0,2,6,5,0
221,131,86,10,2,0,1,1,2,0,5,0
222,218,26,0,0,0,1,1,0,0,0,0
223,10,33,18,3,0,1,1,1,0,2,0
224,86,187,177,0,0,1,0,2,3,5,0
225,105,96,49,23,0,1,0,2,3,2,0
226,10,33,18,3,0,1,1,1,0,2,0
227,0,74,8,9,0,0,0,2,7,10,0
228,100,82,66,65,0,1,1,2,1,5,0
229,0,293,80,95,0,0,0,2,1,3,0
230,86,158,86,0,0,1,0,2,3,5,0
231,10,33,18,3,0,1,1,1,0,2,0
232,131,87,10,2,0,1,1,2,7,5,0
233,150,328,137,105,0,1,0,2,1,2,0
234,116,66,56,44,0,1,1,0,0,0,0
235,131,87,15,2,0,1,0,0,7,5,0
236,0,796,51,0,0,1,0,1,6,2,0
237,10,33,18,3,0,1,1,1,0,2,0
238,17,127,20,15,0,1,1,2,7,10,0
239,32,74,208,0,0,0,0,2,0,0,0
240,86,158,91,0,0,1,0,2,3,5,0
241,105,223,76,24,0,1,1,2,1,2,0
242,0,226,149,18,0,0,1,2,7,10,0
243,10,28,21,3,0,1,0,1,0,2,0
244,0,502,0,0,0,0,0,0,0,0,0
245,105,229,85,34,0,1,1,2,3,2,0
246,10,33,18,3,0,1,1,1,0,2,0
247,105,285,71,14,0,1,1,2,6,2,0
248,105,256,85,23,0,1,1,2,6,2,0
249,264,251,81,0,0,1,0,2,0,0,0
250,32,100,128,18,0,1,0,2,0,0,0
251,83,148,44,117,0,1,0,2,1,2,0
252,32,83,0,0,0,0,0,2,0,0,0
253,10,28,20,3,0,1,0,1,0,2,0
254,32,125,0,0,0,0,0,2,0,0,0
255,105,181,30,22,0,1,1,2,1,2,0
256,73,174,162,0,0,1,0,2,0,0,0
257,0,562,0,0,0,1,0,2,7,10,0
258,86,143,89,0,0,1,0,2,3,5,0
259,0,214,85,0,0,0,1,2,6,10,0
260,131,94,10,2,0,1,1,0,7,5,0
261,0,99,23,37,0,0,1,2,3,5,0
262,19,322,47,14,0,1,1,2,6,10,0
263,131,112,10,2,0,1,0,2,7,5,0
264,0,178,0,0,0,0,0,1,6,0,0
265,97,241,69,0,0,1,0,0,0,0,0
266,0,1024,0,0,0,0,0,0,0,0,0
267,86,151,90,0,0,1,0,2,3,5,0
268,0,37,61,33,0,1,0,2,6,0,0
269,10,33,18,3,0,1,1,1,0,2,0
270,45,202,0,11,0,1,0,0,0,0,0
271,141,121,0,0,0,1,0,2,0,0,0
272,32,69,0,0,0,0,0,2,0,0,0
273,10,33,18,3,0,1,1,1,0,2,0
274,20,108,67,32,0,1,1,2,0,0,0
275,192,134,59,61,0,1,1,2,7,6,0
276,110,308,87,52,0,1,0,2,6,2,0
277,312,22,12,4,0,1,1,2,1,0,0
278,10,28,20,3,0,1,0,1,0,2,0
279,186,325,131,83,0,1,1,2,6,2,0
280,10,33,18,3,0,1,1,1,0,2,0
281,33,330,196,71,0,1,1,2,2,2,0
282,127,250,38,48,0,1,1,2,0,0,0
283,110,273,101,52,0,1,0,2,6,2,0
284,10,33,18,3,0,1,1,1,0,2,0
285,110,253,73,52,0,1,0,2,3,10,0
286,131,90,10,2,0,1,1,2,7,5,0
287,190,47,102,60,0,1,1,2,1,2,0
288,110,248,209,116,0,1,0,0,0,0,0
289,105,115,86,28,1,1,1,3,5,2,0
290,45,187,108,11,0,1,0,0,0,0,0
291,154,212,60,167,0,1,0,2,1,2,0
292,10,33,18,3,0,1,1,1,0,2,0
293,148,93,41,147,0,1,0,2,3,0,0
294,308,185,181,60,0,1,1,2,6,2,0
295,116,214,44,204,0,1,1,2,3,2,0
296,20,117,43,32,0,1,1,2,0,0,0
297,120,171,130,42,0,1,1,2,1,2,0
298,84,101,23,169,0,1,0,2,7,10,0
299,86,150,86,0,0,1,0,4,3,5,0
300,148,126,78,92,0,1,0,2,3,0,0
301,147,73,57,25,0,1,0,2,3,10,0
302,36,94,21,19,0,1,0,2,7,10,0
303,0,66,57,17,0,0,0,2,7,2,0
304,86,138,270,0,0,1,0,2,3,5,0
305,10,33,18,3,0,1,1,1,0,2,0
306,86,253,178,0,0,1,0,2,3,5,0
307,20,234,30,33,0,1,1,2,1,0,0
308,12,98,0,0,0,1,0,1,7,0,0
309,10,33,18,3,0,1,1,1,0,2,0
310,153,460,0,0,0,1,0,0,0,0,0
311,86,157,77,0,0,1,0,4,3,5,0
312,12,87,0,0,0,1,0,2,6,0,0
313,10,33,18,3,0,1,1,1,0,2,0
314,156,337,68,47,0,1,0,2,6,2,0
315,215,465,352,0,0,1,1,2,1,2,0
316,208,563,45,12,0,1,1,2,0,0,0
317,178,213,79,111,0,1,1,2,3,2,0
318,116,413,174,0,0,1,1,2,6,2,0
319,392,133,0,0,0,1,0,2,0,2,0
320,88,297,115,38,0,1,0,2,6,0,0
321,134,125,30,17,0,1,0,2,0,10,0
322,197,279,0,13,0,1,0,2,1,2,0
323,68,236,46,14,0,1,0,2,1,2,0
324,197,296,107,9,0,1,0,2,6,2,0
325,104,171,52,0,0,1,0,0,0,0,0
326,10,33,18,3,0,1,1,1,0,2,0
327,140,243,68,62,0,1,1,2,6,2,0
